probe_id	symbol	gene_id
ILMN_1343291		1915
ILMN_1343295		2597
ILMN_1651209		9906
ILMN_1651221		79645
ILMN_1651228		6234
ILMN_1651229		9670
ILMN_1651230		360226
ILMN_1651232		653113
ILMN_1651235		60312
ILMN_1651237		81620
ILMN_1651238		7442
ILMN_1651249		9659
ILMN_1651253		644150
ILMN_1651254		4026
ILMN_1651259		7360
ILMN_1651260		9134
ILMN_1651262		3182
ILMN_1651268		118426
ILMN_1651278		79753
ILMN_1651281		100130301
ILMN_1651282		1308
ILMN_1651285		255877
ILMN_1651286		29841
ILMN_1651303		84239
ILMN_1651310		4301
ILMN_1651315		10362
ILMN_1651316		969
ILMN_1651330		93107
ILMN_1651336		23417
ILMN_1651339		23074
ILMN_1651341		401010
ILMN_1651343		22801
ILMN_1651347		9792
ILMN_1651354		6696
ILMN_1651358		3046
ILMN_1651365		79413
ILMN_1651369		51372
ILMN_1651370		27005
ILMN_1651373		6007
ILMN_1651378		550
ILMN_1651385		9927
ILMN_1651388		404770
ILMN_1651395		200765
ILMN_1651396		10350
ILMN_1651404		79168
ILMN_1651405		65980
ILMN_1651415		91319
ILMN_1651428		54843
ILMN_1651429		140606
ILMN_1651430		440387
ILMN_1651433		1633
ILMN_1651437		2299
ILMN_1651438		161882
ILMN_1651453		643596
ILMN_1651456		7404
ILMN_1651457		2854
ILMN_1651464		84678
ILMN_1651477		84240
ILMN_1651486		1353
ILMN_1651490		1592
ILMN_1651492		7482
ILMN_1651496		3017
ILMN_1651498		10912
ILMN_1651501		5826
ILMN_1651504		8603
ILMN_1651506		96764
ILMN_1651507		79912
ILMN_1651513		23517
ILMN_1651535		221468
ILMN_1651538		9253
ILMN_1651543		440040
ILMN_1651544		55869
ILMN_1651547		9723
ILMN_1651554		8490
ILMN_1651557		143888
ILMN_1651563		80022
ILMN_1651565		643365
ILMN_1651568		56667
ILMN_1651569		7516
ILMN_1651574		360
ILMN_1651597		93611
ILMN_1651599		954
ILMN_1651604		57787
ILMN_1651608		285600
ILMN_1651609		399473
ILMN_1651610		10252
ILMN_1651617		1499
ILMN_1651624		404220
ILMN_1651628		54536
ILMN_1651636		1553
ILMN_1651641		729444
ILMN_1651642		221914
ILMN_1651643		140456
ILMN_1651652		10313
ILMN_1651656		5676
ILMN_1651657		80332
ILMN_1651680		1915
ILMN_1651684		9786
ILMN_1651685		51059
ILMN_1651692		6793
ILMN_1651693		83445
ILMN_1651699		2059
ILMN_1651705		847
ILMN_1651708		389075
ILMN_1651710		115811
ILMN_1651712		54033
ILMN_1651715		6045
ILMN_1651717		80070
ILMN_1651719		8720
ILMN_1651727		441161
ILMN_1651735		10618
ILMN_1651741		51566
ILMN_1651745		84866
ILMN_1651752		80231
ILMN_1651760		127253
ILMN_1651763		51270
ILMN_1651767		57591
ILMN_1651769		9765
ILMN_1651771		10325
ILMN_1651776		29109
ILMN_1651787		4439
ILMN_1651788		4296
ILMN_1651792		6097
ILMN_1651799		54407
ILMN_1651800		2948
ILMN_1651806		100287227
ILMN_1651817		2897
ILMN_1651819		63917
ILMN_1651826		10409
ILMN_1651828		7203
ILMN_1651832		10938
ILMN_1651838		27289
ILMN_1651846		400954
ILMN_1651848		6453
ILMN_1651850		6217
ILMN_1651872		29914
ILMN_1651878		2121
ILMN_1651886		55280
ILMN_1651899		6143
ILMN_1651900		3739
ILMN_1651902		387496
ILMN_1651916		100506658
ILMN_1651936		387893
ILMN_1651940		390326
ILMN_1651943		288
ILMN_1651949		57147
ILMN_1651950		8460
ILMN_1651958		4256
ILMN_1651964		10057
ILMN_1651966		2261
ILMN_1651967		9540
ILMN_1651980		283767
ILMN_1651987		154467
ILMN_1652006		8243
ILMN_1652008		90417
ILMN_1652015		158696
ILMN_1652017		5475
ILMN_1652022		90957
ILMN_1652023		3268
ILMN_1652024		1456
ILMN_1652037		151531
ILMN_1652056		7273
ILMN_1652065		3779
ILMN_1652066		25992
ILMN_1652072		167359
ILMN_1652073		6228
ILMN_1652082		2000
ILMN_1652085		10199
ILMN_1652088		56903
ILMN_1652104		3845
ILMN_1652123		3150
ILMN_1652128		55788
ILMN_1652137		5540
ILMN_1652144		57452
ILMN_1652147		84545
ILMN_1652151		9414
ILMN_1652160		987
ILMN_1652161		25953
ILMN_1652163		1856
ILMN_1652164		81622
ILMN_1652166		2974
ILMN_1652170		649159
ILMN_1652171		1031
ILMN_1652175		83901
ILMN_1652181		84643
ILMN_1652185		3566
ILMN_1652188		57724
ILMN_1652198		83605
ILMN_1652206		340390
ILMN_1652207		1327
ILMN_1652209		9790
ILMN_1652215		29796
ILMN_1652219		140688
ILMN_1652223		29062
ILMN_1652230		6235
ILMN_1652236		79915
ILMN_1652237		874
ILMN_1652243		127731
ILMN_1652244		64208
ILMN_1652246		23148
ILMN_1652249		5524
ILMN_1652276		4102
ILMN_1652277		6398
ILMN_1652280		114907
ILMN_1652287		9241
ILMN_1652291		344191
ILMN_1652297		100506085
ILMN_1652300		22847
ILMN_1652306		84466
ILMN_1652309		123016
ILMN_1652313		200312
ILMN_1652314		6674
ILMN_1652333		79672
ILMN_1652348		389197
ILMN_1652357		8050
ILMN_1652365		127602
ILMN_1652366		199713
ILMN_1652369		2067
ILMN_1652371		222223
ILMN_1652378		10527
ILMN_1652379		8801
ILMN_1652392		54798
ILMN_1652394		5862
ILMN_1652397		83707
ILMN_1652407		23613
ILMN_1652409		55812
ILMN_1652412		5257
ILMN_1652413		90226
ILMN_1652424		219959
ILMN_1652430		400997
ILMN_1652431		759
ILMN_1652434		441024
ILMN_1652439		83896
ILMN_1652445		5879
ILMN_1652456		26022
ILMN_1652461		117583
ILMN_1652464		112714
ILMN_1652465		5172
ILMN_1652469		100506990
ILMN_1652472		673
ILMN_1652486		80764
ILMN_1652487		83732
ILMN_1652490		54682
ILMN_1652505		27301
ILMN_1652512		25966
ILMN_1652521		66036
ILMN_1652525		89853
ILMN_1652533		29797
ILMN_1652540		285613
ILMN_1652549		1837
ILMN_1652550		401149
ILMN_1652578		7252
ILMN_1652580		5424
ILMN_1652594		79913
ILMN_1652602		256329
ILMN_1652609		64283
ILMN_1652611		10438
ILMN_1652631		152007
ILMN_1652646		100131257
ILMN_1652647		3631
ILMN_1652649		5819
ILMN_1652650		30011
ILMN_1652662		2887
ILMN_1652677		375061
ILMN_1652687		440104
ILMN_1652693		6469
ILMN_1652694		9715
ILMN_1652715		221060
ILMN_1652716		90459
ILMN_1652719		145942
ILMN_1652722		9556
ILMN_1652727		55830
ILMN_1652729		287
ILMN_1652732		3363
ILMN_1652735		5994
ILMN_1652736		6197
ILMN_1652740		100505478
ILMN_1652745		118433
ILMN_1652749		2077
ILMN_1652753		80227
ILMN_1652754		126299
ILMN_1652762		23119
ILMN_1652763		389203
ILMN_1652768		6187
ILMN_1652777		10435
ILMN_1652780		29767
ILMN_1652787		118788
ILMN_1652790		1195
ILMN_1652797		400451
ILMN_1652806		522
ILMN_1652807		3200
ILMN_1652819		80207
ILMN_1652825		3587
ILMN_1652826		10234
ILMN_1652846		5833
ILMN_1652852		2620
ILMN_1652857		6564
ILMN_1652865		10458
ILMN_1652866		4010
ILMN_1652872		22888
ILMN_1652876		728927
ILMN_1652906		26301
ILMN_1652907		988
ILMN_1652913		2146
ILMN_1652918		54509
ILMN_1652928		80228
ILMN_1652929		23126
ILMN_1652931		644672
ILMN_1652938		79057
ILMN_1652939		647060
ILMN_1652940		113691
ILMN_1652946		387804
ILMN_1652952		9462
ILMN_1652955		6232
ILMN_1652959		225
ILMN_1652963		127003
ILMN_1652967		8608
ILMN_1652975		8788
ILMN_1652989		23279
ILMN_1652992		7799
ILMN_1652998		8340
ILMN_1653001		91768
ILMN_1653006		1446
ILMN_1653026		51316
ILMN_1653028		1282
ILMN_1653033		6419
ILMN_1653040		26025
ILMN_1653042		80270
ILMN_1653055		6658
ILMN_1653073		219960
ILMN_1653092		121006
ILMN_1653098		7782
ILMN_1653103		140894
ILMN_1653115		1891
ILMN_1653120		6480
ILMN_1653125		5187
ILMN_1653129		1478
ILMN_1653133		152503
ILMN_1653134		255919
ILMN_1653143		11319
ILMN_1653146		4438
ILMN_1653158		503834
ILMN_1653161		6623
ILMN_1653163		54993
ILMN_1653165		14
ILMN_1653166		10462
ILMN_1653174		2651
ILMN_1653180		7171
ILMN_1653182		5379
ILMN_1653185		9159
ILMN_1653189		100507306
ILMN_1653200		51310
ILMN_1653203		30008
ILMN_1653205		401466
ILMN_1653207		80312
ILMN_1653209		11130
ILMN_1653211		23439
ILMN_1653220		9600
ILMN_1653228		152065
ILMN_1653251		3009
ILMN_1653263		114787
ILMN_1653266		79982
ILMN_1653267		2849
ILMN_1653274		170685
ILMN_1653278		200958
ILMN_1653282		353139
ILMN_1653283		351
ILMN_1653292		5210
ILMN_1653310		51157
ILMN_1653319		4157
ILMN_1653324		116379
ILMN_1653332		54801
ILMN_1653337		84669
ILMN_1653340		9400
ILMN_1653342		64118
ILMN_1653358		2525
ILMN_1653367		6883
ILMN_1653369		100509378
ILMN_1653372		148229
ILMN_1653376		165215
ILMN_1653385		11127
ILMN_1653386		391365
ILMN_1653395		1234
ILMN_1653404		28511
ILMN_1653412		84839
ILMN_1653420		643376
ILMN_1653428		643394
ILMN_1653429		23443
ILMN_1653432		9987
ILMN_1653434		1756
ILMN_1653438		9678
ILMN_1653443		1017
ILMN_1653447		170680
ILMN_1653453		4281
ILMN_1653459		3590
ILMN_1653461		401145
ILMN_1653463		442038
ILMN_1653466		57801
ILMN_1653469		6136
ILMN_1653480		202243
ILMN_1653494		6271
ILMN_1653496		2752
ILMN_1653498		10261
ILMN_1653501		7869
ILMN_1653504		1901
ILMN_1653514		5928
ILMN_1653524		80143
ILMN_1653529		54881
ILMN_1653553		283643
ILMN_1653573		100128420
ILMN_1653575		10068
ILMN_1653578		64131
ILMN_1653591		135644
ILMN_1653599		513
ILMN_1653601		11011
ILMN_1653603		10926
ILMN_1653607		84203
ILMN_1653612		54793
ILMN_1653613		84720
ILMN_1653618		26009
ILMN_1653622		646329
ILMN_1653636		139629
ILMN_1653646		84993
ILMN_1653648		81491
ILMN_1653652		5788
ILMN_1653665		7273
ILMN_1653666		55975
ILMN_1653667		6899
ILMN_1653670		8452
ILMN_1653678		23220
ILMN_1653687		50614
ILMN_1653704		3578
ILMN_1653708		57175
ILMN_1653709		26520
ILMN_1653711		2535
ILMN_1653712		91373
ILMN_1653718		130617
ILMN_1653719		9358
ILMN_1653724		646329
ILMN_1653728		2066
ILMN_1653730		64064
ILMN_1653748		140880
ILMN_1653750		6663
ILMN_1653761		4613
ILMN_1653762		140767
ILMN_1653766		6369
ILMN_1653771		126820
ILMN_1653783		23209
ILMN_1653788		727800
ILMN_1653793		5170
ILMN_1653794		387066
ILMN_1653797		81688
ILMN_1653801		388282
ILMN_1653814		3044
ILMN_1653821		148
ILMN_1653822		4751
ILMN_1653824		3918
ILMN_1653826		2258
ILMN_1653828		55743
ILMN_1653829		643338
ILMN_1653833		144776
ILMN_1653834		55239
ILMN_1653836		25758
ILMN_1653846		440253
ILMN_1653856		84959
ILMN_1653861		22955
ILMN_1653865		285855
ILMN_1653867		158399
ILMN_1653871		10135
ILMN_1653878		783
ILMN_1653896		84126
ILMN_1653910		441051
ILMN_1653927		116937
ILMN_1653934		3872
ILMN_1653940		9099
ILMN_1653956		285419
ILMN_1653965		3691
ILMN_1653980		79828
ILMN_1654001		79677
ILMN_1654010		56894
ILMN_1654013		283987
ILMN_1654016		103910
ILMN_1654031		93492
ILMN_1654032		10444
ILMN_1654043		65065
ILMN_1654049		402665
ILMN_1654060		2872
ILMN_1654063		54768
ILMN_1654064		57669
ILMN_1654065		84913
ILMN_1654068		4521
ILMN_1654072		6376
ILMN_1654074		3675
ILMN_1654099		9860
ILMN_1654109		133584
ILMN_1654112		50855
ILMN_1654118		598
ILMN_1654129		64853
ILMN_1654141		253832
ILMN_1654151		1345
ILMN_1654165		51151
ILMN_1654171		1720
ILMN_1654195		9648
ILMN_1654200		285190
ILMN_1654204		85479
ILMN_1654210		911
ILMN_1654212		285489
ILMN_1654217		4355
ILMN_1654228		56112
ILMN_1654246		51548
ILMN_1654261		7442
ILMN_1654262		64393
ILMN_1654268		3148
ILMN_1654287		115
ILMN_1654289		2002
ILMN_1654313		400986
ILMN_1654317		643224
ILMN_1654318		25930
ILMN_1654319		145864
ILMN_1654322		483
ILMN_1654323		7337
ILMN_1654324		26508
ILMN_1654331		3214
ILMN_1654357		7572
ILMN_1654365		440742
ILMN_1654370		10420
ILMN_1654385		79754
ILMN_1654386		283551
ILMN_1654389		2209
ILMN_1654392		23351
ILMN_1654396		3689
ILMN_1654398		23179
ILMN_1654402		10068
ILMN_1654408		84231
ILMN_1654411		6362
ILMN_1654413		414235
ILMN_1654414		2181
ILMN_1654415		256297
ILMN_1654421		10198
ILMN_1654422		88
ILMN_1654429		5367
ILMN_1654441		4942
ILMN_1654445		25873
ILMN_1654457		25828
ILMN_1654458		283446
ILMN_1654459		494118
ILMN_1654466		191585
ILMN_1654468		56
ILMN_1654473		22917
ILMN_1654474		647946
ILMN_1654479		2765
ILMN_1654488		7403
ILMN_1654493		54663
ILMN_1654496		646168
ILMN_1654497		84896
ILMN_1654504		64581
ILMN_1654516		83862
ILMN_1654518		100316904
ILMN_1654534		387129
ILMN_1654540		80031
ILMN_1654541		534
ILMN_1654542		83989
ILMN_1654543		10001
ILMN_1654545		29894
ILMN_1654552		10240
ILMN_1654563		1947
ILMN_1654566		3305
ILMN_1654570		83659
ILMN_1654571		23149
ILMN_1654583		1105
ILMN_1654586		22821
ILMN_1654594		10568
ILMN_1654598		79781
ILMN_1654602		255812
ILMN_1654606		283576
ILMN_1654609		114915
ILMN_1654612		51385
ILMN_1654613		7067
ILMN_1654629		84286
ILMN_1654630		54540
ILMN_1654632		401190
ILMN_1654634		283521
ILMN_1654637		55209
ILMN_1654639		55008
ILMN_1654653		3831
ILMN_1654671		10650
ILMN_1654677		144715
ILMN_1654685		79772
ILMN_1654689		10168
ILMN_1654690		27440
ILMN_1654691		2287
ILMN_1654696		84419
ILMN_1654697		140883
ILMN_1654703		80045
ILMN_1654722		255027
ILMN_1654732		116039
ILMN_1654735		28232
ILMN_1654737		22954
ILMN_1654742		219770
ILMN_1654759		53842
ILMN_1654766		133308
ILMN_1654771		6419
ILMN_1654773		8573
ILMN_1654778		4046
ILMN_1654786		117854
ILMN_1654812		81622
ILMN_1654819		51385
ILMN_1654851		79137
ILMN_1654854		347273
ILMN_1654855		1641
ILMN_1654857		100507003
ILMN_1654861		50
ILMN_1654864		148362
ILMN_1654866		5903
ILMN_1654875		1178
ILMN_1654890		114823
ILMN_1654893		10066
ILMN_1654895		158035
ILMN_1654899		728062
ILMN_1654915		4301
ILMN_1654916		374654
ILMN_1654920		3189
ILMN_1654939		10959
ILMN_1654942		4782
ILMN_1654945		1788
ILMN_1654946		65982
ILMN_1654966		51435
ILMN_1654979		285220
ILMN_1654980		146183
ILMN_1654997		5024
ILMN_1654998		55671
ILMN_1655026		647979
ILMN_1655039		10999
ILMN_1655045		728012
ILMN_1655046		10204
ILMN_1655068		146691
ILMN_1655077		639
ILMN_1655093		84289
ILMN_1655114		29
ILMN_1655117		57728
ILMN_1655126		728233
ILMN_1655136		326332
ILMN_1655137		23318
ILMN_1655154		5725
ILMN_1655155		221823
ILMN_1655161		79906
ILMN_1655162		10866
ILMN_1655163		8428
ILMN_1655165		51444
ILMN_1655167		91392
ILMN_1655171		56097
ILMN_1655177		5297
ILMN_1655190		100506085
ILMN_1655191		54897
ILMN_1655194		79960
ILMN_1655201		85395
ILMN_1655206		403341
ILMN_1655218		10725
ILMN_1655225		148223
ILMN_1655229		23657
ILMN_1655241		29942
ILMN_1655244		28955
ILMN_1655245		56890
ILMN_1655250		92292
ILMN_1655251		83896
ILMN_1655261		121506
ILMN_1655269		401027
ILMN_1655272		9962
ILMN_1655283		3631
ILMN_1655296		7402
ILMN_1655307		84908
ILMN_1655311		145853
ILMN_1655312		11234
ILMN_1655316		5706
ILMN_1655329		55781
ILMN_1655330		10407
ILMN_1655340		51255
ILMN_1655341		153770
ILMN_1655347		7356
ILMN_1655348		2825
ILMN_1655365		129881
ILMN_1655374		348303
ILMN_1655377		56945
ILMN_1655380		161497
